item_id	attribute_id
0	2
0	34
0	292
0	5
0	10
0	50
0	28
0	31
1	4
1	232
1	366
1	84
1	22
2	0
2	34
2	36
2	24
2	286
3	2
3	31
4	50
4	54
4	31
5	31
6	0
6	2
6	4
6	807
6	10
6	49
6	83
6	31
7	21
7	31
8	1
8	2
8	68
8	4
8	5
8	75
8	43
8	240
8	50
8	22
8	54
9	2
9	54
10	2
10	5
10	50
10	54
10	56
10	31
11	457
11	50
11	31
11	15
12	2
12	34
12	5
12	16
12	31
13	2
13	112
13	948
13	22
13	54
13	728
13	287
14	43
14	21
15	33
15	2
15	3
15	68
15	4
15	5
15	176
15	49
15	16
15	84
15	22
15	119
15	31
15	542
15	479
16	4
16	20
16	607
17	50
17	4
17	28
17	54
18	4
19	4
19	20
20	2
20	34
20	5
20	50
20	563
20	28
20	31
21	2
21	177
21	657
21	55
21	31
22	2
22	550
22	31
23	4
24	909
25	31
26	64
26	32
26	191
26	36
26	421
26	6
26	746
26	370
26	307
26	468
26	443
26	21
26	187
26	31
27	34
27	227
27	68
27	4
27	232
27	10
27	597
27	22
27	59
28	2
28	43
28	15
28	52
28	927
29	160
29	54
29	102
29	23
30	17
30	531
30	302
30	262
31	477
31	2
31	4
31	7
31	685
31	21
31	54
31	55
31	63
31	223
32	428
32	348
33	546
33	2
33	5
33	38
33	70
33	71
33	332
33	496
33	273
33	54
33	25
34	160
34	263
34	403
34	21
34	54
35	77
36	50
36	43
37	54
38	54
38	102
38	23
39	32
39	4
39	5
39	500
39	119
39	59
40	32
40	4
40	646
40	8
40	396
40	494
40	57
41	34
41	4
41	498
41	50
41	630
41	28
41	31
42	4
42	165
42	5
42	14
42	50
42	51
42	31
43	2
43	403
43	54
44	32
44	0
44	6
44	750
44	206
44	123
44	63
45	780
46	2
46	54
47	2
47	34
47	102
47	10
47	172
47	48
47	859
47	31
48	24
48	685
49	25
49	90
49	5
50	2
50	34
50	4
50	5
50	10
50	43
50	14
50	16
50	57
50	251
50	413
51	4
51	20
51	14
52	57
52	2
52	34
52	31
53	2
53	5
53	43
53	16
53	50
54	43
54	403
54	21
55	2
55	34
55	102
55	172
55	48
55	31
56	185
57	297
57	50
57	54
58	50
58	54
59	876
60	1
60	4
60	9
60	15
60	20
60	215
60	634
61	561
62	149
63	32
63	960
63	34
63	162
63	969
63	10
63	491
63	428
63	31
63	501
63	348
63	95
64	50
64	54
65	2
65	227
65	34
65	102
65	10
65	172
65	48
65	54
65	23
65	57
66	772
67	2
67	5
67	31
68	11
69	50
69	54
70	43
70	2
70	390
70	166
71	16
71	2
71	12
71	54
72	54
73	91
73	4
73	20
73	583
74	2
74	43
74	335
75	2
75	5
75	16
75	50
75	54
75	31
76	2
76	34
76	68
76	4
76	36
76	5
76	22
76	31
77	32
77	2
77	34
77	4
77	645
77	36
77	102
77	10
77	844
77	172
77	23
77	31
78	89
79	49
79	2
80	705
80	2
80	4
80	5
80	28
80	15
80	400
80	177
80	50
80	16
80	25
80	59
80	124
80	31
81	33
81	418
81	2
81	4
81	36
81	5
81	101
81	16
81	56
81	124
81	31
82	203
82	341
82	13
83	34
83	2
83	5
83	7
83	10
83	43
83	15
83	176
83	48
83	50
83	54
83	57
83	124
83	542
84	304
84	4
84	20
84	14
85	2
85	34
85	4
85	102
85	172
85	52
85	54
85	23
86	5
87	4
87	6
87	43
87	15
87	50
87	119
87	28
88	2
88	54
89	0
89	4
89	68
89	301
89	20
90	448
90	2
90	4
90	5
90	15
90	48
90	50
90	54
90	26
90	31
91	57
91	43
92	793
93	2
93	34
93	5
93	102
93	10
93	43
93	15
93	48
93	16
93	50
93	692
93	23
94	160
94	54
94	102
94	23
95	56
96	1
96	4
96	325
96	43
96	908
96	15
96	50
96	215
96	700
96	127
97	4
97	75
97	45
97	24
97	217
97	27
97	31
98	4
98	5
98	14
98	51
98	631
98	57
98	861
99	302
99	17
99	310
99	90
99	159
100	2
100	5
100	49
100	54
100	22
101	2
101	29
101	31
102	18
102	43
102	21
103	2
103	5
103	10
103	16
103	54
103	217
104	2
104	4
104	165
104	5
104	197
104	19
104	52
104	342
104	86
104	57
104	125
104	25
104	31
105	49
105	2
105	43
106	35
106	149
107	4
107	20
108	36
108	523
108	119
108	792
108	124
108	31
109	2
109	4
109	5
109	38
109	394
109	16
109	50
109	563
109	119
109	57
109	28
109	31
110	668
111	43
111	443
111	21
112	2
112	34
112	4
112	5
112	75
112	76
112	14
112	48
112	22
112	54
113	2
113	31
114	4
114	43
114	15
114	50
114	20
115	129
115	2
115	15
115	48
115	374
115	54
116	4
116	45
116	20
116	119
116	543
117	54
117	102
117	23
118	64
118	191
118	196
118	36
118	650
118	497
118	61
118	148
118	21
118	184
118	120
118	29
118	190
118	31
119	0
119	2
119	34
119	4
119	167
119	10
119	123
119	54
119	24
119	923
119	286
119	63
120	33
120	2
120	99
120	68
120	581
120	4
120	5
120	296
120	319
120	45
120	14
120	49
120	51
120	22
120	24
120	57
120	124
120	31
121	330
121	70
122	28
122	5
122	38
123	2
123	34
123	5
123	43
123	16
123	50
123	54
123	28
123	31
124	1
124	2
124	5
124	38
124	43
124	50
124	215
124	28
124	31
125	5
125	38
126	50
126	43
126	974
127	50
127	54
128	2
128	4
128	5
128	7
128	554
128	15
128	50
128	947
128	119
128	57
128	124
128	31
129	449
129	121
129	195
129	325
129	39
129	599
129	153
129	410
130	889
130	2
130	34
130	54
131	745
131	2
131	86
131	31
132	32
132	2
132	165
132	905
132	45
132	63
132	434
132	148
132	184
132	25
132	251
132	120
132	61
132	62
132	31
133	10
133	50
133	34
133	31
134	2
134	34
134	4
134	135
134	15
134	48
134	50
134	26
134	28
134	31
135	2
135	34
135	10
135	54
135	57
135	346
136	50
136	31
136	471
137	2
137	54
138	2
138	374
138	31
139	4
140	99
140	4
140	43
140	14
140	27
141	10
141	21
141	31
142	2
142	34
142	102
142	391
142	10
142	172
142	45
142	48
142	57
142	346
142	31
143	34
143	2
143	4
143	5
143	102
143	10
143	45
143	124
143	48
143	563
143	54
143	23
143	28
143	31
144	50
144	43
145	469
145	53
145	4
145	949
146	32
146	221
146	4
146	165
147	50
147	54
148	64
148	32
148	2
148	36
148	196
148	298
148	13
148	21
148	566
148	120
148	58
148	29
148	31
149	745
150	388
151	408
151	68
151	4
151	22
152	2
152	34
152	4
152	5
152	10
152	15
152	48
152	50
152	57
152	31
153	32
153	96
153	2
153	263
153	10
153	123
153	45
153	54
153	251
153	30
153	31
154	0
154	2
154	34
154	4
154	5
154	232
154	16
154	84
154	22
154	316
154	221
154	31
155	16
155	2
155	31
156	2
156	4
156	50
156	502
156	28
156	31
157	2
157	54
158	50
158	31
159	50
159	2
159	5
159	31
160	77
161	2
161	4
161	31
162	2
162	771
162	34
162	102
162	43
162	48
162	23
163	21
163	31
164	33
164	34
164	2
164	4
164	5
164	102
164	488
164	172
164	14
164	48
164	16
164	859
164	124
164	31
165	34
165	4
165	20
165	31
166	32
166	251
166	244
166	120
167	853
168	33
168	2
168	4
168	5
168	8
168	14
168	51
168	371
168	631
168	25
168	124
168	31
169	2
169	31
170	90
170	43
170	45
171	32
171	2
171	387
171	132
171	401
171	88
171	120
171	31
172	2
172	34
172	5
172	102
172	48
172	54
172	23
172	953
172	28
173	32
173	33
173	34
173	2
173	36
173	4
173	102
173	5
173	10
173	172
173	45
173	76
173	14
173	50
173	57
173	124
173	25
173	31
174	54
174	2
174	34
174	102
175	2
175	34
175	4
175	5
175	10
175	52
175	31
176	2
176	34
176	4
176	16
176	24
176	31
177	2
177	68
177	4
177	5
177	75
177	49
177	22
177	31
178	2
178	450
178	4
178	197
178	5
178	7
178	16
178	119
178	57
178	124
178	125
178	31
179	33
179	2
179	4
179	36
179	5
179	43
179	14
179	16
179	20
179	124
179	221
180	35
180	70
180	330
180	783
180	244
180	149
180	120
180	58
180	251
180	29
181	31
182	57
182	66
182	4
182	7
183	387
183	132
183	141
183	401
183	884
183	88
183	120
184	2
184	68
184	303
184	49
184	22
184	54
185	433
185	149
186	2
186	4
186	165
186	5
186	19
186	52
186	57
186	508
186	125
186	413
186	31
187	625
187	4
187	14
187	775
188	34
188	4
188	31
189	2
189	4
189	36
189	5
189	101
189	43
189	76
189	524
189	50
189	54
190	32
190	387
190	36
190	132
190	422
190	43
190	310
190	88
191	802
191	4
191	14
191	50
191	20
191	119
191	31
192	161
192	34
192	2
192	4
192	37
192	102
192	10
192	234
192	172
192	109
192	14
192	48
192	16
192	20
192	116
192	31
193	2
193	43
193	63
194	43
194	228
194	21
195	2
195	4
195	5
195	394
195	43
195	15
195	50
195	54
195	119
195	28
195	862
196	50
196	43
196	5
196	98
197	31
197	21
197	63
198	226
198	2
198	54
199	546
199	2
199	5
199	38
199	296
199	332
199	496
199	273
199	54
199	25
200	32
200	196
200	241
200	211
200	184
200	61
200	190
201	160
201	102
201	31
202	25
202	2
202	263
203	121
203	2
203	31
204	736
204	2
204	34
204	5
204	102
204	101
204	10
204	172
204	48
204	370
204	31
205	2
205	4
205	5
205	15
205	51
205	57
205	31
206	1
206	2
206	68
206	4
206	5
206	39
206	43
206	15
206	50
206	22
206	28
206	31
207	2
207	21
207	398
208	400
208	2
208	5
208	31
209	2
209	4
209	5
209	50
209	52
209	54
209	119
209	57
209	28
210	50
210	43
211	4
211	101
212	2
212	653
212	527
212	656
212	402
212	661
212	918
212	667
212	285
212	158
212	414
212	669
212	675
212	676
212	40
212	426
212	555
212	940
212	686
212	688
212	54
212	57
212	189
212	67
212	201
212	202
212	717
212	208
212	722
212	727
212	475
212	359
212	105
212	873
212	619
212	878
212	245
212	506
213	672
213	226
213	36
213	397
213	821
214	112
214	2
214	5
214	31
215	2
215	34
215	5
215	102
215	10
215	268
215	172
215	16
215	49
215	54
215	23
215	25
216	50
216	54
216	31
217	41
218	160
218	192
218	2
218	5
218	42
218	75
218	50
218	54
218	765
219	4
219	133
219	15
219	207
219	50
219	20
219	54
219	634
220	448
220	2
220	4
220	389
220	582
220	38
220	5
220	15
220	48
220	50
220	54
220	119
220	28
220	31
221	10
222	16
222	44
222	5
222	31
223	50
223	43
224	906
224	43
224	21
225	33
225	4
225	5
225	44
225	14
225	31
226	77
226	45
227	57
227	43
228	32
228	263
228	120
228	123
228	31
229	2
229	34
229	102
229	54
229	23
230	31
231	2
231	5
231	75
231	16
231	663
231	31
232	2
232	34
232	5
232	390
232	966
232	102
232	172
232	13
232	46
232	48
232	16
232	28
232	31
233	2
233	204
233	367
233	54
233	666
234	188
235	512
235	2
235	5
235	52
235	25
235	31
236	10
237	640
237	2
237	5
237	903
237	907
237	15
237	790
237	535
237	813
237	54
237	57
237	699
237	579
237	585
237	462
237	78
237	979
237	600
237	344
237	602
237	349
237	482
237	355
237	869
237	762
237	254
237	767
238	50
238	260
238	54
239	10
239	50
239	43
240	2
240	34
240	5
240	207
240	16
240	25
240	31
240	191
241	2
241	4
241	37
241	5
241	54
241	856
241	25
241	413
242	2
242	4
242	5
242	15
242	50
242	52
242	886
242	54
242	57
242	31
243	2
243	227
243	10
243	15
243	16
243	54
243	57
243	31
244	24
244	891
245	32
245	96
245	2
245	336
245	696
246	48
246	25
246	2
246	31
247	2
247	34
247	4
247	5
247	102
247	172
247	48
247	16
247	149
247	54
247	23
247	24
248	2
248	4
248	5
248	10
248	25
248	31
248	32
248	33
248	34
248	36
248	48
248	50
248	52
248	54
248	57
248	64
248	66
248	456
248	343
248	251
248	124
249	50
249	31
250	0
250	68
250	4
250	657
250	22
250	119
250	121
251	934
252	64
252	32
252	96
252	36
252	6
252	520
252	118
252	61
253	128
253	2
253	422
253	115
253	21
253	90
253	31
254	4
255	34
255	2
255	165
255	102
255	5
255	10
255	43
255	172
255	15
255	50
255	23
255	31
255	413
255	447
256	43
256	50
256	867
256	31
257	32
257	34
257	10
257	491
257	428
257	501
257	54
257	25
257	348
257	95
258	157
258	47
259	2
260	224
260	68
260	5
260	38
260	167
260	49
260	22
260	31
261	4
261	43
261	14
261	15
261	50
262	2
262	68
262	4
262	38
262	647
262	5
262	232
262	207
262	112
262	49
262	16
262	84
262	22
262	151
262	31
263	2
263	4
263	5
263	38
263	31
263	15
263	559
263	16
263	50
263	601
263	28
263	958
263	57
264	33
264	4
264	57
264	124
264	31
265	2
265	34
265	4
265	102
265	54
265	23
266	50
266	54
267	68
267	4
267	20
267	84
267	22
267	59
267	797
268	177
269	129
269	4
269	15
269	50
269	84
269	246
269	28
269	31
270	34
270	5
270	299
270	684
270	50
270	31
271	2
271	34
271	4
