item_id	attribute_id
0	75
0	69
1	706
1	74
1	139
1	77
1	80
2	4588
2	77
2	80
2	112
2	4592
2	342
2	6878
2	7967
3	96
3	97
3	258
3	163
3	260
3	133
3	1124
3	199
3	519
3	520
3	521
3	651
3	5607
3	5703
3	310
3	507
3	5788
3	606
4	112
4	2832
4	404
4	79
5	1793
5	69
5	325
5	327
5	75
5	77
5	80
5	2258
5	148
5	5786
6	68
6	69
6	74
6	75
6	973
6	974
6	57
7	112
7	69
7	358
8	101
8	69
8	74
8	75
8	1165
8	143
8	145
8	690
9	260
9	14
9	147
9	22
9	407
9	23
9	24
9	154
9	158
9	291
9	421
9	189
9	3647
9	69
9	75
9	77
9	79
9	3153
9	1492
9	367
9	2554
10	2555
10	1652
10	14
11	1
11	4098
11	2563
11	395
11	140
11	2188
11	147
11	3353
11	155
11	3489
11	176
11	4913
11	5432
11	1854
11	191
11	192
11	321
11	68
11	69
11	710
11	1991
11	74
11	3277
11	5326
11	5583
11	5714
11	5715
11	5716
11	5717
11	5718
11	1495
11	5719
11	5720
11	5721
11	5722
11	5723
11	5724
11	5725
11	5726
11	5727
11	5728
11	354
11	5729
11	5730
11	5605
11	5731
11	5732
11	5733
11	5734
11	5735
11	5736
11	3820
11	5737
11	2287
12	3841
12	258
12	3843
12	4994
12	3847
12	3849
12	11
12	3851
12	3853
12	1424
12	3859
12	1302
12	2586
12	2587
12	2588
12	3867
12	3868
12	2591
12	2592
12	3870
12	2594
12	422
12	1705
12	173
12	2606
12	2608
12	693
12	441
12	191
12	67
12	964
12	581
12	8264
12	592
12	5840
12	88
12	1885
12	96
12	97
12	7013
12	7016
12	7017
12	107
12	242
12	244
12	2423
12	507
13	194
13	580
13	133
13	520
13	2315
13	112
13	179
13	2323
13	693
13	2326
13	2327
13	2328
13	507
13	5788
14	1312
14	421
14	46
14	2319
14	242
14	115
14	2322
14	2586
14	507
15	258
15	7822
15	1424
15	23
15	2587
15	2588
15	2591
15	2594
15	291
15	422
15	2599
15	2600
15	1705
15	2601
15	309
15	441
